dataset,action_family,activation_count,activation_percent,rescue_count,harm_count,net_gain_count,net_gain_pp
RML2016.10A,Basic_ERU_candidate_replacement,531,2.413636,270,102,168,0.763636
RML2016.10A,Validation_approved_class_transition,110,0.500000,40,18,22,0.100000
RML2016.10A,Pairwise_confusion_correction,229,1.040909,90,38,52,0.236364
RML2016.10A,Statistical_GAMC_candidate_correction,1083,4.922727,459,211,248,1.127273
RML2016.10A,Late_stage_conditional_route,963,4.377273,274,170,104,0.472727
RML2016.10A,Blocked_reverted_candidate_action,1504,6.836364,0,0,0,0.000000
RML2016.10A,Retain_primary,17580,79.909091,0,0,0,0.000000
RML2016.10B,Basic_ERU_candidate_replacement,2712,2.260000,1209,669,540,0.450000
RML2016.10B,Validation_approved_class_transition,0,0.000000,0,0,0,0.000000
RML2016.10B,Pairwise_confusion_correction,135,0.112500,66,12,54,0.045000
RML2016.10B,Statistical_GAMC_candidate_correction,3662,3.051667,1383,873,510,0.425000
RML2016.10B,Late_stage_conditional_route,3091,2.575833,922,817,105,0.087500
RML2016.10B,Blocked_reverted_candidate_action,35757,29.797500,0,0,0,0.000000
RML2016.10B,Retain_primary,74643,62.202500,0,0,0,0.000000
HisarMod2019.1,Basic_ERU_candidate_replacement,4417,1.698846,2252,938,1314,0.505385
HisarMod2019.1,Validation_approved_class_transition,0,0.000000,0,0,0,0.000000
HisarMod2019.1,Pairwise_confusion_correction,1504,0.578462,831,310,521,0.200385
HisarMod2019.1,Statistical_GAMC_candidate_correction,2544,0.978462,1646,350,1296,0.498462
HisarMod2019.1,Late_stage_conditional_route,18661,7.177308,6202,3879,2323,0.893462
HisarMod2019.1,Blocked_reverted_candidate_action,2187,0.841154,0,0,0,0.000000
HisarMod2019.1,Retain_primary,230687,88.725769,0,0,0,0.000000
