dataset,comparison,difference_pp,ci95_low_pp,ci95_high_pp,n10,n01,mcnemar_p_raw,holm_adjusted_p,bootstrap_repetitions,stratification
RML2016.10A,Full_ERU_RC_vs_Primary,2.700000,2.340909,3.054545,1133,539,1.14754e-48,1.14754e-47,10000,class_x_snr
RML2016.10A,Full_ERU_RC_vs_OOF_Linear_Stacking,0.568182,0.222727,0.918182,835,710,0.00159827,0.00479481,10000,class_x_snr
RML2016.10A,Full_ERU_RC_vs_OOF_XGBoost_Stacking,0.481818,0.236364,0.727273,464,358,0.000245479,0.00122739,10000,class_x_snr
RML2016.10A,Full_ERU_RC_vs_OOF_Candidate_Competence,0.536364,0.259091,0.818182,582,464,0.000293359,0.00122739,10000,class_x_snr
RML2016.10A,Full_ERU_RC_vs_Isolated_OOF_ERU,0.713636,0.436364,1.000000,629,472,2.48929e-6,2.24036e-5,10000,class_x_snr
RML2016.10B,Full_ERU_RC_vs_Primary,1.007500,0.882500,1.131667,3580,2371,1.21958e-55,1.46350e-54,10000,class_x_snr
RML2016.10B,Full_ERU_RC_vs_OOF_Linear_Stacking,-0.002500,-0.116667,0.113333,2680,2683,0.978213,0.978213,10000,class_x_snr
RML2016.10B,Full_ERU_RC_vs_OOF_XGBoost_Stacking,0.308333,0.121646,0.499187,8332,7962,0.00384175,0.00768349,10000,class_x_snr
RML2016.10B,Full_ERU_RC_vs_OOF_Candidate_Competence,0.240000,0.123333,0.355833,2711,2423,6.16372e-5,0.000431461,10000,class_x_snr
RML2016.10B,Full_ERU_RC_vs_Isolated_OOF_ERU,0.229167,0.110833,0.342500,2702,2427,0.000129844,0.000779065,10000,class_x_snr
HisarMod2019.1,Full_ERU_RC_vs_Primary,2.097692,2.003846,2.193462,10931,5477,<1e-300,<1e-300,10000,class_x_snr_x_storage_block
HisarMod2019.1,Full_ERU_RC_vs_OOF_Linear_Stacking,1.216154,1.129231,1.303077,8164,5002,1.10493e-168,1.54690e-167,10000,class_x_snr_x_storage_block
HisarMod2019.1,Full_ERU_RC_vs_OOF_XGBoost_Stacking,0.123077,0.071154,0.173462,2501,2181,3.10495e-6,2.48396e-5,10000,class_x_snr_x_storage_block
HisarMod2019.1,Full_ERU_RC_vs_OOF_Candidate_Competence,0.850769,0.770375,0.930385,7041,4829,4.36043e-92,5.66856e-91,10000,class_x_snr_x_storage_block
HisarMod2019.1,Full_ERU_RC_vs_Isolated_OOF_ERU,0.610000,0.531154,0.686923,6280,4694,6.84641e-52,7.53105e-51,10000,class_x_snr_x_storage_block
