dataset,incremental_action,changed_count,changed_percent,rescue_count,rescue_percent,harm_count,harm_percent,net_gain_count,net_gain_pp
RML2016.10A,Basic_ERU_candidate_replacement,106,0.481818,24,0.109091,18,0.081818,6,0.027273
RML2016.10A,Stable_class_transition_correction,110,0.500000,40,0.181818,18,0.081818,22,0.100000
RML2016.10A,Pairwise_confusion_correction,20,0.090909,4,0.018182,7,0.031818,-3,-0.013636
RML2016.10A,Statistical_GAMC_candidate_correction,226,1.027273,57,0.259091,44,0.200000,13,0.059091
RML2016.10A,Late_stage_conditional_route,961,4.368182,274,1.245455,184,0.836364,90,0.409091
RML2016.10A,Blocked_reverted_candidate_action,654,2.972727,230,1.045455,201,0.913636,29,0.131818
RML2016.10B,Basic_ERU_candidate_replacement,1965,1.637500,648,0.540000,564,0.470000,84,0.070000
RML2016.10B,Stable_class_transition_correction,0,0.000000,0,0.000000,0,0.000000,0,0.000000
RML2016.10B,Pairwise_confusion_correction,6,0.005000,3,0.002500,1,0.000833,2,0.001667
RML2016.10B,Statistical_GAMC_candidate_correction,2977,2.480833,1015,0.845833,798,0.665000,217,0.180833
RML2016.10B,Late_stage_conditional_route,3091,2.575833,922,0.768333,856,0.713333,66,0.055000
RML2016.10B,Blocked_reverted_candidate_action,539,0.449167,114,0.095000,208,0.173333,-94,-0.078333
HisarMod2019.1,Basic_ERU_candidate_replacement,0,0.000000,0,0.000000,0,0.000000,0,0.000000
HisarMod2019.1,Stable_class_transition_correction,0,0.000000,0,0.000000,0,0.000000,0,0.000000
HisarMod2019.1,Pairwise_confusion_correction,0,0.000000,0,0.000000,0,0.000000,0,0.000000
HisarMod2019.1,Statistical_GAMC_candidate_correction,0,0.000000,0,0.000000,0,0.000000,0,0.000000
HisarMod2019.1,Late_stage_conditional_route,15941,6.131154,4776,1.836923,3579,1.376538,1197,0.460385
HisarMod2019.1,Blocked_reverted_candidate_action,3921,1.508077,1504,0.578462,1115,0.428846,389,0.149615
